covariation cut 0
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |   5.865e-06    |    0.001903    |   -5.637e-05   |    0.05431     |     17.63      |     -0.522     |    -0.03868    |    0.005392    
|      150       |   4.716e-06    |    0.00167     |    0.000114    |    0.04367     |     15.46      |     1.056      |    -0.03188    |    0.004312    
|      200       |   4.829e-06    |    0.001683    |   7.524e-05    |    0.04472     |     15.59      |     0.6968     |    -0.0315     |    0.00439     
|      250       |   4.927e-06    |    0.00177     |   -0.0001718   |    0.04563     |     16.39      |     -1.591     |    -0.02461    |    0.004358    
|      300       |   5.465e-06    |    0.001839    |   0.0001243    |    0.05061     |     17.03      |     1.151      |    -0.02429    |    0.004783    
|      350       |   5.754e-06    |     0.0019     |   0.0003099    |    0.05329     |      17.6      |      2.87      |    -0.0221     |    0.005015    
|      400       |   6.328e-06    |    0.002003    |   0.0001734    |    0.05861     |     18.55      |     1.606      |    -0.03234    |    0.005787    
|      450       |   6.194e-06    |    0.001949    |   -2.369e-05   |    0.05737     |     18.05      |    -0.2194     |    -0.02727    |    0.005369    
|      500       |   5.184e-06    |    0.001816    |   -5.545e-05   |    0.04801     |     16.82      |    -0.5136     |    -0.02283    |    0.004492    
|      550       |   5.581e-06    |    0.001892    |   -3.698e-05   |    0.05169     |     17.52      |    -0.3425     |    -0.02075    |    0.004914    
|      600       |    5.67e-06    |    0.001896    |   0.0001823    |    0.05251     |     17.56      |     1.688      |    -0.0187     |    0.004977    
covariation cut 1
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |   6.262e-06    |    0.001909    |   8.504e-05    |    0.05799     |     17.68      |     0.7876     |    -0.0402     |    0.005629    
|      150       |    4.63e-06    |    0.001654    |   -0.000154    |    0.04287     |     15.32      |     -1.427     |    -0.03672    |    0.004123    
|      200       |   4.803e-06    |    0.001757    |   -0.0002068   |    0.04448     |     16.27      |     -1.915     |    -0.02799    |    0.004272    
|      250       |   4.377e-06    |    0.001636    |   -0.0002681   |    0.04054     |     15.15      |     -2.483     |    -0.02697    |    0.003895    
|      300       |   6.639e-06    |    0.002068    |   -0.0005903   |    0.06149     |     19.15      |     -5.467     |    -0.02242    |    0.005905    
|      350       |   6.455e-06    |    0.002008    |   0.0002576    |    0.05978     |      18.6      |     2.385      |    -0.02132    |    0.005662    
|      400       |   6.902e-06    |    0.002069    |   8.388e-05    |    0.06392     |     19.16      |     0.7768     |    -0.01948    |    0.006087    
|      450       |    5.58e-06    |    0.00187     |   -0.0001959   |    0.05168     |     17.32      |     -1.814     |    -0.02309    |    0.004789    
|      500       |   4.816e-06    |    0.001742    |   0.0003831    |     0.0446     |     16.13      |     3.547      |    -0.02383    |    0.004212    
|      550       |    5.12e-06    |    0.001791    |   -5.418e-05   |    0.04742     |     16.59      |    -0.5018     |    -0.02574    |    0.004454    
|      600       |   8.891e-06    |    0.002389    |    0.000634    |    0.08234     |     22.13      |     5.872      |    -0.01512    |    0.007869    
covariation cut 2
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |    5.73e-06    |    0.001771    |   0.0002682    |    0.05306     |     16.41      |     2.484      |    -0.03814    |    0.005147    
|      150       |   5.445e-06    |    0.001845    |   0.0005088    |    0.05042     |     17.08      |     4.712      |    -0.03047    |    0.004802    
|      200       |   4.283e-06    |    0.001643    |    0.000357    |    0.03966     |     15.22      |     3.306      |    -0.0283     |    0.003796    
|      250       |   5.307e-06    |    0.00185     |   0.0004275    |    0.04915     |     17.13      |     3.959      |    -0.02748    |    0.004723    
|      300       |   5.111e-06    |    0.001808    |   9.466e-05    |    0.04733     |     16.75      |     0.8766     |    -0.02693    |    0.004314    
|      350       |   6.264e-06    |    0.001996    |   0.0002241    |    0.05801     |     18.48      |     2.076      |    -0.02638    |    0.005505    
|      400       |   6.045e-06    |    0.001987    |   0.0001209    |    0.05598     |      18.4      |      1.12      |    -0.02341    |    0.005244    
|      450       |   6.924e-06    |    0.002091    |   0.0001173    |    0.06412     |     19.37      |     1.086      |     -0.018     |    0.005936    
|      500       |   5.172e-06    |    0.001807    |   -2.637e-05   |     0.0479     |     16.74      |    -0.2442     |    -0.02184    |    0.004497    
|      550       |   5.854e-06    |    0.001906    |   0.0002365    |    0.05422     |     17.65      |      2.19      |    -0.0199     |    0.004986    
|      600       |   7.687e-06    |    0.002142    |   0.0001958    |    0.07119     |     19.84      |     1.813      |    -0.0159     |    0.006807    
covariation cut 3
|      cut       | mean sqrt dev  |  mean abs dev  |    mean dev    |  sum sqr dev   |  sum abs dev   |    sum dev     |   peak diff    |  int sqr diff  
|      100       |   6.274e-06    |    0.001912    |   0.0002872    |     0.0581     |     17.71      |      2.66      |    -0.03944    |    0.005709    
|      150       |   5.038e-06    |    0.00174     |   0.0003999    |    0.04666     |     16.11      |     3.703      |    -0.03574    |    0.004546    
|      200       |   5.566e-06    |    0.001849    |   0.0004682    |    0.05155     |     17.12      |     4.336      |    -0.02918    |    0.005035    
|      250       |   5.031e-06    |    0.001774    |    0.00028     |    0.04659     |     16.43      |     2.593      |    -0.03013    |    0.004545    
|      300       |   5.749e-06    |    0.001858    |   0.0001636    |    0.05324     |     17.21      |     1.515      |    -0.0263     |    0.005086    
|      350       |   5.915e-06    |    0.001935    |   0.0006289    |    0.05478     |     17.92      |     5.824      |    -0.02462    |    0.005314    
